ETC Registers

Sl.no,Register Address,Value
1462,f5b5,0000
1463,f5b6,0000
1464,f5b7,0000
1465,f5b8,0000
1466,f5b9,0000
1467,f5ba,0000
1468,f5bb,0000
1469,f5bc,0000
1470,f5bd,0000
1471,f5be,0000
1472,f5bf,0000
1473,f5c0,0000
1474,f5c1,0000
1475,f5c2,0000
1476,f5c3,0000
1477,f5c4,0000
1478,f5c5,0000
1479,f5c6,0000
1480,f5c7,0000
1481,f5c8,0000
1482,f5c9,0000
1483,f5ca,0000
1484,f5cb,0000
1485,f5cc,0000
1486,f5cd,0000
1487,f5ce,0000
1488,f5cf,0000
1489,f5d0,0000
1490,f5d1,0000
1491,f5d2,0000
1492,f5d3,0000
1493,f5d4,0000
1494,f5d5,0000
1495,f5d6,0000
