ETC Registers

Sl.no,Register Address,Value
1195,d4aa,0000
1196,d4ab,0000
1197,d4ac,0000
1198,d4ad,0000
1199,d4ae,0000
1200,d4af,0000
1201,d4b0,0000
1202,d4b1,0000
1203,d4b2,0000
1204,d4b3,0000
1205,d4b4,0000
1206,d4b5,0000
1207,d4b6,0000
1208,d4b7,0000
1209,d4b8,0000
1210,d4b9,0000
1211,d4ba,0000
1212,d4bb,0000
1213,d4bc,0000
1214,d4bd,0000
1215,d4be,0000
1216,d4bf,0000
1217,d4c0,0000
1218,d4c1,0000
1219,d4c2,0000
1220,d4c3,0000
1221,d4c4,0000
1222,d4c5,0000
1223,d4c6,0000
1224,d4c7,0000
1225,d4c8,0000
1226,d4c9,0000
1227,d4ca,0000
1228,d4cb,0000
1229,d4cc,0000
1230,d4cd,0000
1231,d4ce,0000
1232,d4cf,0000
1233,d4d0,0000
1234,d4d1,0000
1235,d4d2,0000
1236,d4d3,0000
1237,d4d4,0000
1238,d4d5,0000
1239,d4d6,0000
1240,d4d7,0000
1241,d4d8,0000
1242,d4d9,0000
1243,d4da,0000
1244,d4db,0000
1245,d4dc,0000
1246,d4dd,0000
1247,d4de,0000
1248,d4df,0000
1249,d4e0,0000
1250,d4e1,0000
1251,d4e2,0000
1252,d4e3,0000
1253,d4e4,0000
1254,d4e5,0000
1255,d4e6,0000
1256,d4e7,0000
1257,d4e8,0000
1258,d4e9,0000
1259,d4ea,0000
1260,d4eb,0000
1261,d4ec,0000
1262,d4ed,0000
1263,d4ee,0000
1264,d4ef,0000
1265,d4f0,0000
1266,d4f1,0000
1267,d4f2,0000
1268,d4f3,0000
1269,d4f4,0000
1270,d4f5,0000
1271,d4f6,0000
1272,d4f7,0000
1273,d4f8,0000
1274,d4f9,0000
1275,d4fa,0000
1276,d4fb,0000
1277,d4fc,0000
1278,d4fd,0000
1279,d4fe,0000
1280,d4ff,0000
1281,d500,0000
1282,d501,0000
1283,d502,0000
1284,d503,0000
1285,d504,00b2
1286,d505,0001
1287,d506,0000
1288,d507,0000
1289,d508,0000
1290,d509,0000
1291,d50a,0000
1292,d50b,0010
1293,d50c,001f
1294,d50d,0000
1295,d50e,0000
1296,d50f,0000
1297,d510,0000
1298,d511,0000
1299,d512,0000
1300,d513,0000
1301,d514,0000
1302,d515,0000
1303,d516,0000
1304,d517,0000
1305,d518,0000
1306,d519,0000
1307,d51a,0000
1308,d51b,0000
1309,d51c,0000
1310,d51d,0000
1311,d51e,0000
1312,d51f,0000
1313,d520,0000
1314,d521,0000
1315,d522,0000
1316,d523,0000
1317,d524,0000
1318,d525,0000
1319,d526,0000
1320,d527,0000
